i,criterion,max_depth,min_samples_leaf,min_samples_split,splitter
0,entropy,6,4,3,random
1,gini,5,10,12,random
2,entropy,5,1,3,random
3,entropy,6,9,4,random
4,entropy,6,8,9,random
5,gini,5,1,13,random
6,entropy,7,10,9,random
7,gini,5,5,8,random
8,entropy,6,3,5,random
9,entropy,4,8,3,random
10,gini,5,3,10,random
11,entropy,5,5,10,random
12,gini,5,7,6,random
13,entropy,8,9,10,random
14,entropy,4,3,10,random
15,entropy,5,2,3,random
16,entropy,4,3,11,random
17,entropy,5,6,9,random
18,entropy,4,4,7,random
19,entropy,7,10,10,random
