Algoritmo,Número de Clusters,var1,var2,Inércia,Coesão,Coeficiente de Silhueta,Rand Score,Homogeneidade,Completude,Entropia,Matriz de Contingência
DBSCAN,1,10,50,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,10,100,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,10,150,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,10,200,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,10,250,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,10,300,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,10,350,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,10,400,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,10,450,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,10,500,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,20,50,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,20,100,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,20,150,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,20,200,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,20,250,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,20,300,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,20,350,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,20,400,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,20,450,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,20,500,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,30,50,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,30,100,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
DBSCAN,1,30,150,279943.5711472181,46016.82812421507,-,0.5005844714084224,0.0,1.0,0,"[[4208], [3916]]"
