i,alg,acc
0,KNN,0.8422712933753943
0,NB,0.0946372239747634
0,MLP,0.8359621451104101
0,AD,0.831230283911672
0,SVM,0.8422712933753943
0,Soma,0.8391167192429022
0,VotoMajoritÃ¡rio,0.8422712933753943
0,BordaCount,0.7917981072555205
1,KNN,0.8501577287066246
1,NB,0.36908517350157727
1,MLP,0.8454258675078864
1,AD,0.8359621451104101
1,SVM,0.8264984227129337
1,Soma,0.8375394321766562
1,VotoMajoritÃ¡rio,0.8391167192429022
1,BordaCount,0.49369085173501576
2,KNN,0.8391167192429022
2,NB,0.11198738170347003
2,MLP,0.8406940063091483
2,AD,0.8422712933753943
2,SVM,0.8359621451104101
2,Soma,0.8470031545741324
2,VotoMajoritÃ¡rio,0.8454258675078864
2,BordaCount,0.7791798107255521
3,KNN,0.8454258675078864
3,NB,0.08990536277602523
3,MLP,0.8249211356466877
3,AD,0.831230283911672
3,SVM,0.8391167192429022
3,Soma,0.8438485804416404
3,VotoMajoritÃ¡rio,0.8454258675078864
3,BordaCount,0.7839116719242902
4,KNN,0.8406940063091483
4,NB,0.15930599369085174
4,MLP,0.8517350157728707
4,AD,0.8343848580441641
4,SVM,0.8422712933753943
4,Soma,0.8454258675078864
4,VotoMajoritÃ¡rio,0.8470031545741324
4,BordaCount,0.7381703470031545
5,KNN,0.8438485804416404
5,NB,0.08832807570977919
5,MLP,0.8533123028391167
5,AD,0.8391167192429022
5,SVM,0.832807570977918
5,Soma,0.8517350157728707
5,VotoMajoritÃ¡rio,0.8454258675078864
5,BordaCount,0.7728706624605678
6,KNN,0.8406940063091483
6,NB,0.1750788643533123
6,MLP,0.831230283911672
6,AD,0.8233438485804416
6,SVM,0.8422712933753943
6,Soma,0.8375394321766562
6,VotoMajoritÃ¡rio,0.8406940063091483
6,BordaCount,0.692429022082019
7,KNN,0.8438485804416404
7,NB,0.7712933753943217
7,MLP,0.8485804416403786
7,AD,0.8343848580441641
7,SVM,0.7902208201892744
7,Soma,0.8438485804416404
7,VotoMajoritÃ¡rio,0.8422712933753943
7,BordaCount,0.17981072555205047
8,KNN,0.8438485804416404
8,NB,0.08675078864353312
8,MLP,0.8391167192429022
8,AD,0.8359621451104101
8,SVM,0.8422712933753943
8,Soma,0.8438485804416404
8,VotoMajoritÃ¡rio,0.8438485804416404
8,BordaCount,0.7839116719242902
9,KNN,0.8406940063091483
9,NB,0.11356466876971609
9,MLP,0.8391167192429022
9,AD,0.8422712933753943
9,SVM,0.8217665615141956
9,Soma,0.8375394321766562
9,VotoMajoritÃ¡rio,0.8422712933753943
9,BordaCount,0.7460567823343849
10,KNN,0.8438485804416404
10,NB,0.12145110410094637
10,MLP,0.8454258675078864
10,AD,0.8264984227129337
10,SVM,0.8422712933753943
10,Soma,0.8501577287066246
10,VotoMajoritÃ¡rio,0.8438485804416404
10,BordaCount,0.7539432176656151
11,KNN,0.8406940063091483
11,NB,0.20504731861198738
11,MLP,0.8359621451104101
11,AD,0.8249211356466877
11,SVM,0.8454258675078864
11,Soma,0.8391167192429022
11,VotoMajoritÃ¡rio,0.8470031545741324
11,BordaCount,0.667192429022082
12,KNN,0.8406940063091483
12,NB,0.22712933753943218
12,MLP,0.8422712933753943
12,AD,0.8233438485804416
12,SVM,0.8343848580441641
12,Soma,0.8343848580441641
12,VotoMajoritÃ¡rio,0.8422712933753943
12,BordaCount,0.6498422712933754
13,KNN,0.8422712933753943
13,NB,0.0804416403785489
13,MLP,0.832807570977918
13,AD,0.831230283911672
13,SVM,0.8438485804416404
13,Soma,0.8406940063091483
13,VotoMajoritÃ¡rio,0.8422712933753943
13,BordaCount,0.8028391167192429
14,KNN,0.8438485804416404
14,NB,0.10883280757097792
14,MLP,0.8454258675078864
14,AD,0.8375394321766562
14,SVM,0.8343848580441641
14,Soma,0.8406940063091483
14,VotoMajoritÃ¡rio,0.8438485804416404
14,BordaCount,0.7634069400630915
15,KNN,0.8485804416403786
15,NB,0.19085173501577288
15,MLP,0.8438485804416404
15,AD,0.8406940063091483
15,SVM,0.8406940063091483
15,Soma,0.8406940063091483
15,VotoMajoritÃ¡rio,0.8485804416403786
15,BordaCount,0.6908517350157729
16,KNN,0.8438485804416404
16,NB,0.3675078864353312
16,MLP,0.8359621451104101
16,AD,0.8375394321766562
16,SVM,0.8422712933753943
16,Soma,0.8422712933753943
16,VotoMajoritÃ¡rio,0.8422712933753943
16,BordaCount,0.4968454258675079
17,KNN,0.8470031545741324
17,NB,0.12145110410094637
17,MLP,0.8391167192429022
17,AD,0.8422712933753943
17,SVM,0.8359621451104101
17,Soma,0.8438485804416404
17,VotoMajoritÃ¡rio,0.8438485804416404
