Iteration, N Estimators, Loss, Max Depth, Learning Rate, Min Samples Split, Min Samples Leaf
0,1000,squared_error,3,0.1,2,4
1,1000,squared_error,3,0.1,5,1
2,500,squared_error,3,0.1,5,2
3,500,squared_error,3,0.1,2,4
4,1500,squared_error,3,0.1,2,1
5,1000,squared_error,3,0.1,2,2
6,500,squared_error,3,0.1,2,2
7,1000,squared_error,3,0.1,5,1
8,500,squared_error,3,0.1,2,4
9,500,squared_error,3,0.1,2,4
10,1500,squared_error,3,0.1,2,4
11,500,squared_error,3,0.1,2,2
12,1500,squared_error,3,0.1,2,4
13,1500,squared_error,3,0.1,5,2
14,1500,squared_error,3,0.1,2,2
15,1500,squared_error,3,0.1,5,2
16,1000,squared_error,3,0.1,2,1
17,500,squared_error,3,0.1,2,4
18,1500,squared_error,3,0.1,2,2
19,1000,squared_error,3,0.1,5,2
