Iteration, N Estimators, Criterion, Max Depth, Min Samples Split, Min Samples Leaf
0,200,poisson,20,2,1
1,50,squared_error,20,2,1
2,100,squared_error,20,2,1
3,150,poisson,10,2,1
4,50,poisson,10,2,1
5,150,poisson,10,2,1
6,150,squared_error,20,2,1
7,200,squared_error,10,2,1
8,200,squared_error,20,2,1
9,100,poisson,10,2,1
10,50,friedman_mse,20,2,1
11,50,friedman_mse,10,2,1
12,100,poisson,20,2,1
13,200,poisson,20,2,1
14,50,squared_error,20,2,1
15,150,poisson,10,2,1
16,200,poisson,20,2,1
17,200,squared_error,20,2,1
18,200,poisson,10,2,1
19,150,absolute_error,20,2,1
